,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/6/20,1295,126,66796807,42633.0,66754174.0,1.9399535975083745e-05,1.8875224191973373e-06,1.8233177715899118e-06,1.7178142995535837e-05
2020/6/21,1221,40,66796807,42673.0,66754134.0,1.8291002022436544e-05,5.992138254688466e-07,1.7505606468352192e-06,1.6189464313356535e-05
2020/6/22,958,15,66796807,42688.0,66754119.0,1.4351174344762157e-05,2.247052350432488e-07,1.7869452070426993e-06,1.597549040630681e-05
2020/6/23,874,176,66796807,42864.0,66753943.0,1.3092859548386527e-05,2.636548375876463e-06,1.8019304973840105e-06,1.524790251869741e-05
2020/6/24,653,154,66796807,43018.0,66753789.0,9.782216257417238e-06,2.3069851510601145e-06,1.7462918565366737e-06,1.4381206265980765e-05
2020/6/25,1118,146,66796807,43164.0,66753643.0,1.6748149610351603e-05,2.187146550189029e-06,1.737732593872409e-06,1.3696413862473615e-05
2020/6/26,1006,185,66796807,43347.0,66753460.0,1.5070379872444066e-05,2.771391924853034e-06,1.7591337496592516e-06,1.33904081579315e-05
2020/6/27,890,100,66796807,43447.0,66753360.0,1.333266220606723e-05,1.498051933265981e-06,1.7184767268359432e-06,1.2994515583596085e-05
2020/6/28,901,36,66796807,43483.0,66753324.0,1.3497455197886476e-05,5.392989868189935e-07,1.7612825153897065e-06,1.3371188040423447e-05
2020/6/29,815,25,66796807,43508.0,66753299.0,1.2209134412967365e-05,3.7451332555114615e-07,1.641441076101845e-06,1.2211286873389446e-05
2020/6/30,689,157,66796807,43665.0,66753142.0,1.0321611528038635e-05,2.351949216113303e-06,1.5408609208578274e-06,1.1222586618268898e-05
2020/7/1,829,174,66796807,43839.0,66752968.0,1.2418923455208764e-05,2.606625670936459e-06,1.4638196513999756e-06,1.0653340547237141e-05
2020/7/2,576,90,66796807,43929.0,66752878.0,8.628841441113595e-06,1.3482564751739993e-06,1.4338590684325203e-06,9.829422606760845e-06
2020/7/3,544,138,66796807,44066.0,66752741.0,8.149478086600219e-06,2.0673308381449086e-06,1.4145987216699322e-06,8.819313923542907e-06
2020/7/4,624,64,66796807,44130.0,66752677.0,9.347939708844935e-06,9.58763047061019e-07,1.4124619363815394e-06,8.588197431253446e-06
2020/7/5,516,22,66796807,44152.0,66752655.0,7.73002961455241e-06,3.2957490604680817e-07,1.309740240187961e-06,8.1623325073532e-06
2020/7/6,343,16,66796807,44168.0,66752639.0,5.138373630441787e-06,2.3969089821302796e-07,1.2969013316273224e-06,8.303590876293091e-06
2020/7/7,581,156,66796807,44324.0,66752483.0,8.70379608201241e-06,2.3369917190945542e-06,1.2048790028519055e-06,8.235117108732305e-06
2020/7/8,630,126,66796807,44450.0,66752357.0,9.437868987907048e-06,1.8875737975814098e-06,1.2840645009361676e-06,8.654591715522069e-06
2020/7/9,642,84,66796807,44534.0,66752273.0,9.617650023692825e-06,1.2583841152495287e-06,1.2819248074312726e-06,8.941377168430578e-06
2020/7/10,512,95,66796807,44629.0,66752178.0,7.670161713674721e-06,1.4231745367169892e-06,1.2755047639188435e-06,9.341585491793768e-06
2020/7/11,820,101,66796807,44730.0,66752077.0,1.2284261956373283e-05,1.5130615336508555e-06,1.2327052292761856e-06,8.949954119452908e-06
2020/7/12,650,21,66796807,44751.0,66752056.0,9.737527784911973e-06,3.1459705151254066e-07,1.1428222008368789e-06,8.753073546344366e-06
2020/7/13,530,13,66796807,44764.0,66752043.0,7.939831893984129e-06,1.947505936260258e-07,1.1064414577158128e-06,8.753084187744597e-06
